plays,game,language,flags
736,amazons_split5,rbg,--enable-all-optimizations
541,amazons_split5,rbg,none
5653,pretwa,rbg,--enable-all-optimizations
1422,pretwa,rbg,none
182,chess_kingCapture_200,rbg,--enable-all-optimizations
154,chess_kingCapture_200,rbg,none
2108,pentago_split,rbg,--enable-all-optimizations
87,pentago_split,rbg,none
927,theMillGame_lud,rbg,--enable-all-optimizations
197,theMillGame_lud,rbg,none
431,breakthrough_11x11,rbg,--enable-all-optimizations
138,breakthrough_11x11,rbg,none
172,chessCylinder_kingCapture,rbg,--enable-all-optimizations
123,chessCylinder_kingCapture,rbg,none
181,connect6_split,rbg,--enable-all-optimizations
10,connect6_split,rbg,none
173,skirmish,rbg,--enable-all-optimizations
144,skirmish,rbg,none
6011,breakthrough_6x6,rbg,--enable-all-optimizations
1739,breakthrough_6x6,rbg,none
725,amazons_split3,rbg,--enable-all-optimizations
458,amazons_split3,rbg,none
148933,ticTacToe,rbg,--enable-all-optimizations
15449,ticTacToe,rbg,none
25,breakthru_split,rbg,--enable-all-optimizations
15,breakthru_split,rbg,none
2055,breakthrough_split,rbg,--enable-all-optimizations
964,breakthrough_split,rbg,none
3073,lauKataKati,rbg,--enable-all-optimizations
493,lauKataKati,rbg,none
1145,amazons_split2,rbg,--enable-all-optimizations
481,amazons_split2,rbg,none
939,golSkuish,rbg,--enable-all-optimizations
143,golSkuish,rbg,none
176,pentago,rbg,--enable-all-optimizations
7,pentago,rbg,none
9034,connect4,rbg,--enable-all-optimizations
2442,connect4,rbg,none
2,doubleChess,rbg,--enable-all-optimizations
1,doubleChess,rbg,none
168,amazons,rbg,--enable-all-optimizations
45,amazons,rbg,none
2,breakthru,rbg,--enable-all-optimizations
1,breakthru,rbg,none
738,amazons_split2a,rbg,--enable-all-optimizations
229,amazons_split2a,rbg,none
1812,breakthrough,rbg,--enable-all-optimizations
497,breakthrough,rbg,none
1960,foxAndHounds-12x12,rbg,--enable-all-optimizations
855,foxAndHounds-12x12,rbg,none
952,knightthrough_split,rbg,--enable-all-optimizations
751,knightthrough_split,rbg,none
338,reversi,rbg,--enable-all-optimizations
96,reversi,rbg,none
17,chess,rbg,--enable-all-optimizations
11,chess,rbg,none
923,chessQuick5x6_kingCapture,rbg,--enable-all-optimizations
682,chessQuick5x6_kingCapture,rbg,none
3112,foxAndHounds-10x10,rbg,--enable-all-optimizations
1363,foxAndHounds-10x10,rbg,none
12,chessCylinder,rbg,--enable-all-optimizations
8,chessCylinder,rbg,none
1786,englishDraughts,rbg,--enable-all-optimizations
710,englishDraughts,rbg,none
626,hex,rbg,--enable-all-optimizations
16,hex,rbg,none
3,paperSoccer,rbg,--enable-all-optimizations
2,paperSoccer,rbg,none
1104,breakthrough_9x9,rbg,--enable-all-optimizations
326,breakthrough_9x9,rbg,none
3113,breakthrough_7x7,rbg,--enable-all-optimizations
852,breakthrough_7x7,rbg,none
175,chess_kingCapture,rbg,--enable-all-optimizations
136,chess_kingCapture,rbg,none
27,chess_200,rbg,--enable-all-optimizations
18,chess_200,rbg,none
13733,breakthrough_5x5,rbg,--enable-all-optimizations
3657,breakthrough_5x5,rbg,none
455,gomoku_standard,rbg,--enable-all-optimizations
23,gomoku_standard,rbg,none
680,breakthrough_10x10,rbg,--enable-all-optimizations
178,breakthrough_10x10,rbg,none
701,amazons_split5plus,rbg,--enable-all-optimizations
455,amazons_split5plus,rbg,none
2844,theMillGame_split,rbg,--enable-all-optimizations
698,theMillGame_split,rbg,none
2322,englishDraughts_split,rbg,--enable-all-optimizations
831,englishDraughts_split,rbg,none
28,canadianDraughts,rbg,--enable-all-optimizations
17,canadianDraughts,rbg,none
528,gomoku_freeStyle,rbg,--enable-all-optimizations
26,gomoku_freeStyle,rbg,none
2622,hex_8x8,rbg,--enable-all-optimizations
76,hex_8x8,rbg,none
2941,alquerque,rbg,--enable-all-optimizations
451,alquerque,rbg,none
300,breakthrough_12x12,rbg,--enable-all-optimizations
93,breakthrough_12x12,rbg,none
1394,chessGardner5x5_kingCapture,rbg,--enable-all-optimizations
959,chessGardner5x5_kingCapture,rbg,none
1004,hex_10x10,rbg,--enable-all-optimizations
26,hex_10x10,rbg,none
82,surakarta,rbg,--enable-all-optimizations
43,surakarta,rbg,none
9564,yavalath,rbg,--enable-all-optimizations
665,yavalath,rbg,none
7303,hex_6x6,rbg,--enable-all-optimizations
312,hex_6x6,rbg,none
733,knightthrough,rbg,--enable-all-optimizations
411,knightthrough,rbg,none
58,chineseCheckers6,rbg,--enable-all-optimizations
26,chineseCheckers6,rbg,none
1337,gomoku_standard_11x11,rbg,--enable-all-optimizations
64,gomoku_standard_11x11,rbg,none
490,alquerque_lud,rbg,--enable-all-optimizations
182,alquerque_lud,rbg,none
775,chessLosAlamos6x6_kingCapture,rbg,--enable-all-optimizations
529,chessLosAlamos6x6_kingCapture,rbg,none
1440,theMillGame,rbg,--enable-all-optimizations
163,theMillGame,rbg,none
2890,chessSilverman4x5_kingCapture,rbg,--enable-all-optimizations
1919,chessSilverman4x5_kingCapture,rbg,none
6018,reversi_4x4,rbg,--enable-all-optimizations
2397,reversi_4x4,rbg,none
119,reversi_10x10,rbg,--enable-all-optimizations
33,reversi_10x10,rbg,none
1217,reversi_6x6,rbg,--enable-all-optimizations
383,reversi_6x6,rbg,none
8656,foxAndHounds,rbg,--enable-all-optimizations
3605,foxAndHounds,rbg,none
837,gomoku_standard_13x13,rbg,--enable-all-optimizations
36,gomoku_standard_13x13,rbg,none
2695,dashGuti,rbg,--enable-all-optimizations
421,dashGuti,rbg,none
84,internationalDraughts,rbg,--enable-all-optimizations
48,internationalDraughts,rbg,none
4406,hex_7x7,rbg,--enable-all-optimizations
169,hex_7x7,rbg,none
15247,hex_5x5,rbg,--enable-all-optimizations
774,hex_5x5,rbg,none
1654,hex_9x9,rbg,--enable-all-optimizations
51,hex_9x9,rbg,none
1015,oware,hrg,--enable-all-optimizations
781,oware,hrg,none
441,hewakamKeliya_lud,hrg,--enable-all-optimizations
297,hewakamKeliya_lud,hrg,none
467,chess_kingCapture,hrg,--enable-all-optimizations
259,chess_kingCapture,hrg,none
687,dotsAndBoxes,hrg,--enable-all-optimizations
647,dotsAndBoxes,hrg,none
543,gomoku_standard,hrg,--enable-all-optimizations
450,gomoku_standard,hrg,none
55246,satSolver,hrg,--enable-all-optimizations
45181,satSolver,hrg,none
