plays,game,language,flags
1880,amazons_split5,rbg,--enable-all-optimizations
1080,amazons_split5,rbg,none
5935,pretwa,rbg,--enable-all-optimizations
1358,pretwa,rbg,none
186,chess_kingCapture_200,rbg,--enable-all-optimizations
148,chess_kingCapture_200,rbg,none
3178,alquerque_split,rbg,--enable-all-optimizations
467,alquerque_split,rbg,none
2166,pentago_split,rbg,--enable-all-optimizations
115,pentago_split,rbg,none
982,theMillGame_lud,rbg,--enable-all-optimizations
219,theMillGame_lud,rbg,none
478,breakthrough_11x11,rbg,--enable-all-optimizations
142,breakthrough_11x11,rbg,none
2214,alquerque_bad,rbg,--enable-all-optimizations
418,alquerque_bad,rbg,none
181,chessCylinder_kingCapture,rbg,--enable-all-optimizations
130,chessCylinder_kingCapture,rbg,none
168,connect6_split,rbg,--enable-all-optimizations
9,connect6_split,rbg,none
180,skirmish,rbg,--enable-all-optimizations
145,skirmish,rbg,none
6096,breakthrough_6x6,rbg,--enable-all-optimizations
1803,breakthrough_6x6,rbg,none
1807,amazons_split3,rbg,--enable-all-optimizations
847,amazons_split3,rbg,none
154403,ticTacToe,rbg,--enable-all-optimizations
16281,ticTacToe,rbg,none
23,breakthru_split,rbg,--enable-all-optimizations
14,breakthru_split,rbg,none
2187,breakthrough_split,rbg,--enable-all-optimizations
1011,breakthrough_split,rbg,none
3149,lauKataKati,rbg,--enable-all-optimizations
490,lauKataKati,rbg,none
1118,amazons_split2,rbg,--enable-all-optimizations
474,amazons_split2,rbg,none
929,golSkuish,rbg,--enable-all-optimizations
155,golSkuish,rbg,none
177,pentago,rbg,--enable-all-optimizations
7,pentago,rbg,none
8906,connect4,rbg,--enable-all-optimizations
2308,connect4,rbg,none
1,doubleChess,rbg,--enable-all-optimizations
1,doubleChess,rbg,none
175,amazons,rbg,--enable-all-optimizations
46,amazons,rbg,none
2,breakthru,rbg,--enable-all-optimizations
1,breakthru,rbg,none
738,amazons_split2a,rbg,--enable-all-optimizations
226,amazons_split2a,rbg,none
1773,breakthrough,rbg,--enable-all-optimizations
492,breakthrough,rbg,none
1944,foxAndHounds-12x12,rbg,--enable-all-optimizations
934,foxAndHounds-12x12,rbg,none
962,knightthrough_split,rbg,--enable-all-optimizations
752,knightthrough_split,rbg,none
2244,englishDraughts_lud,rbg,--enable-all-optimizations
878,englishDraughts_lud,rbg,none
330,reversi,rbg,--enable-all-optimizations
98,reversi,rbg,none
18,chess,rbg,--enable-all-optimizations
12,chess,rbg,none
1159,chessQuick5x6_kingCapture,rbg,--enable-all-optimizations
828,chessQuick5x6_kingCapture,rbg,none
3873,foxAndHounds-10x10,rbg,--enable-all-optimizations
1754,foxAndHounds-10x10,rbg,none
13,chessCylinder,rbg,--enable-all-optimizations
10,chessCylinder,rbg,none
2310,englishDraughts,rbg,--enable-all-optimizations
871,englishDraughts,rbg,none
761,hex,rbg,--enable-all-optimizations
19,hex,rbg,none
4,paperSoccer,rbg,--enable-all-optimizations
3,paperSoccer,rbg,none
1085,breakthrough_9x9,rbg,--enable-all-optimizations
290,breakthrough_9x9,rbg,none
3145,breakthrough_7x7,rbg,--enable-all-optimizations
903,breakthrough_7x7,rbg,none
182,chess_kingCapture,rbg,--enable-all-optimizations
132,chess_kingCapture,rbg,none
26,chess_200,rbg,--enable-all-optimizations
19,chess_200,rbg,none
14472,breakthrough_5x5,rbg,--enable-all-optimizations
4351,breakthrough_5x5,rbg,none
526,gomoku_standard,rbg,--enable-all-optimizations
21,gomoku_standard,rbg,none
729,breakthrough_10x10,rbg,--enable-all-optimizations
211,breakthrough_10x10,rbg,none
2347,amazons_split5plus,rbg,--enable-all-optimizations
1190,amazons_split5plus,rbg,none
3957,theMillGame_split,rbg,--enable-all-optimizations
836,theMillGame_split,rbg,none
2492,englishDraughts_split,rbg,--enable-all-optimizations
905,englishDraughts_split,rbg,none
29,canadianDraughts,rbg,--enable-all-optimizations
16,canadianDraughts,rbg,none
541,gomoku_freeStyle,rbg,--enable-all-optimizations
28,gomoku_freeStyle,rbg,none
2691,hex_8x8,rbg,--enable-all-optimizations
92,hex_8x8,rbg,none
3096,alquerque,rbg,--enable-all-optimizations
509,alquerque,rbg,none
332,breakthrough_12x12,rbg,--enable-all-optimizations
101,breakthrough_12x12,rbg,none
1525,chessGardner5x5_kingCapture,rbg,--enable-all-optimizations
1079,chessGardner5x5_kingCapture,rbg,none
1061,hex_10x10,rbg,--enable-all-optimizations
32,hex_10x10,rbg,none
45,surakarta,rbg,none
10005,yavalath,rbg,--enable-all-optimizations
662,yavalath,rbg,none
7914,hex_6x6,rbg,--enable-all-optimizations
338,hex_6x6,rbg,none
735,knightthrough,rbg,--enable-all-optimizations
435,knightthrough,rbg,none
67,chineseCheckers6,rbg,--enable-all-optimizations
33,chineseCheckers6,rbg,none
1525,gomoku_standard_11x11,rbg,--enable-all-optimizations
72,gomoku_standard_11x11,rbg,none
550,alquerque_lud,rbg,--enable-all-optimizations
187,alquerque_lud,rbg,none
812,chessLosAlamos6x6_kingCapture,rbg,--enable-all-optimizations
606,chessLosAlamos6x6_kingCapture,rbg,none
1593,theMillGame,rbg,--enable-all-optimizations
206,theMillGame,rbg,none
3143,chessSilverman4x5_kingCapture,rbg,--enable-all-optimizations
2246,chessSilverman4x5_kingCapture,rbg,none
7069,reversi_4x4,rbg,--enable-all-optimizations
2526,reversi_4x4,rbg,none
122,reversi_10x10,rbg,--enable-all-optimizations
33,reversi_10x10,rbg,none
1215,reversi_6x6,rbg,--enable-all-optimizations
387,reversi_6x6,rbg,none
8645,foxAndHounds,rbg,--enable-all-optimizations
3602,foxAndHounds,rbg,none
861,gomoku_standard_13x13,rbg,--enable-all-optimizations
38,gomoku_standard_13x13,rbg,none
2761,dashGuti,rbg,--enable-all-optimizations
427,dashGuti,rbg,none
87,internationalDraughts,rbg,--enable-all-optimizations
52,internationalDraughts,rbg,none
4492,hex_7x7,rbg,--enable-all-optimizations
168,hex_7x7,rbg,none
15645,hex_5x5,rbg,--enable-all-optimizations
785,hex_5x5,rbg,none
1696,hex_9x9,rbg,--enable-all-optimizations
50,hex_9x9,rbg,none
1066,oware,hrg,--enable-all-optimizations
807,oware,hrg,none
445,chess_kingCapture,hrg,--enable-all-optimizations
299,chess_kingCapture,hrg,none
719,dotsAndBoxes,hrg,--enable-all-optimizations
710,dotsAndBoxes,hrg,none
565,gomoku_standard,hrg,--enable-all-optimizations
494,gomoku_standard,hrg,none
62771,satSolver,hrg,--enable-all-optimizations
54141,satSolver,hrg,none
1343441,diceThrowGuess,hrg,--enable-all-optimizations
1315235,diceThrowGuess,hrg,none
3337,englishDraughts,hrg,--enable-all-optimizations
1439,englishDraughts,hrg,none
7256,bombardment,hrg,--enable-all-optimizations
6416,bombardment,hrg,none
85,backgammon,hrg,--enable-all-optimizations
39,backgammon,hrg,none
53,chess,hrg,--enable-all-optimizations
32,chess,hrg,none
2183,foxAndGeese,hrg,--enable-all-optimizations
1848,foxAndGeese,hrg,none
175,amazons,hrg,--enable-all-optimizations
121,amazons,hrg,none
9123,ultimateTicTacToe,hrg,--enable-all-optimizations
8040,ultimateTicTacToe,hrg,none
1999,breakthrough,hrg,--enable-all-optimizations
1652,breakthrough,hrg,none
307,pentago,hrg,--enable-all-optimizations
261,pentago,hrg,none
594,battleships,hrg,--enable-all-optimizations
558,battleships,hrg,none
49503,connect4,hrg,--enable-all-optimizations
43875,connect4,hrg,none
1122,amazons_split2,hrg,--enable-all-optimizations
938,amazons_split2,hrg,none
131013,ticTacToe,hrg,--enable-all-optimizations
122528,ticTacToe,hrg,none
3976,pentago_split,hrg,--enable-all-optimizations
3506,pentago_split,hrg,none
158356,ticTacDie,hrg,--enable-all-optimizations
127181,ticTacDie,hrg,none
9884,turingMachine,hrg,--enable-all-optimizations
5530,turingMachine,hrg,none
285191,twentyOne,hrg,--enable-all-optimizations
280602,twentyOne,hrg,none
820,clobber,hrg,--enable-all-optimizations
758,clobber,hrg,none
671,foxAndGeese_lud,hrg,--enable-all-optimizations
572,foxAndGeese_lud,hrg,none
302,ataxx,hrg,--enable-all-optimizations
245,ataxx,hrg,none
3079,knightthrough,hrg,--enable-all-optimizations
2541,knightthrough,hrg,none
570,gomoku_freeStyle,hrg,--enable-all-optimizations
477,gomoku_freeStyle,hrg,none
5950,alquerque,hrg,--enable-all-optimizations
3906,alquerque,hrg,none
1295816,diceThrowCompare,hrg,--enable-all-optimizations
1286377,diceThrowCompare,hrg,none
33750,ticTacToe,kif,--enable-all-optimizations
21644,ticTacToe,kif,none
2291,connect4,kif,--enable-all-optimizations
1662,connect4,kif,none
222858,montyHall,kif,--enable-all-optimizations
139452,montyHall,kif,none
