assign_edges,average_branching,comparison_edges,constants,edges,main_automaton_nodes,max_branching,nodes,reachability_edges,reachability_subautomatons,repeat_nodes,repeat_or_unique_nodes,skip_edges,state_size,tag_edges,typedefs,unique_nodes,variables,game,language,flags
167,1.4852941176470589,135,8,707,335,8,516,78,39,0,0,257,816,70,18,0,5,amazons_split5,rbg,--enable-all-optimizations
268,1.1996542783059636,133,10,1388,596,8,1235,124,77,0,0,787,1421,76,18,0,7,amazons_split5,rbg,none
167,1.4852941176470589,135,8,707,335,8,516,78,39,0,0,257,816,70,18,0,5,amazons_split5,rbg,--compact-comparisons
167,1.4852941176470589,135,8,707,335,8,516,78,39,0,0,257,816,70,18,0,5,amazons_split5,rbg,--compact-reachability
167,1.1620689655172414,135,8,1046,520,8,884,90,45,0,0,588,816,66,18,0,5,amazons_split5,rbg,--compact-skip-edges
209,1.4778225806451613,107,8,733,341,8,542,90,45,0,0,257,816,70,18,0,5,amazons_split5,rbg,--inline-assignment
159,1.445945945945946,133,8,749,341,8,596,124,77,0,0,263,816,70,18,0,5,amazons_split5,rbg,--inline-reachability
167,1.4852941176470589,135,8,707,335,8,516,78,39,0,0,257,816,70,18,0,5,amazons_split5,rbg,--join-exclusive-edges
167,1.4852941176470589,135,8,707,335,8,516,78,39,0,0,257,816,70,18,0,5,amazons_split5,rbg,--join-fork-prefixes
204,1.4502923976608186,135,8,744,372,8,553,78,39,0,0,257,816,70,18,0,5,amazons_split5,rbg,--join-fork-suffixes
167,1.4852941176470589,135,8,707,335,8,516,78,39,0,0,257,816,70,18,0,5,amazons_split5,rbg,--merge-accesses
167,1.4852941176470589,135,8,707,335,8,516,78,39,0,0,257,816,70,18,0,5,amazons_split5,rbg,--propagate-constants
167,1.4852941176470589,135,8,707,335,8,516,78,39,0,0,257,816,70,18,0,5,amazons_split5,rbg,--prune-self-loops
167,1.4852941176470589,135,8,707,335,8,516,78,39,0,0,257,816,70,18,0,5,amazons_split5,rbg,--prune-singleton-types
167,1.449416342412451,167,8,745,335,8,592,78,39,0,0,263,816,70,18,0,5,amazons_split5,rbg,--prune-unreachable-nodes
167,1.4852941176470589,135,10,707,335,8,516,78,39,0,0,257,816,70,18,0,5,amazons_split5,rbg,--prune-unused-constants
