assign_edges_none,average_branching_none,comparison_edges_none,constants_none,edges_none,main_automaton_nodes_none,max_branching_none,nodes_none,reachability_edges_none,reachability_subautomatons_none,skip_edges_none,state_size_none,tag_edges_none,variables_none,game,language,assign_edges_all,average_branching_all,comparison_edges_all,constants_all,edges_all,main_automaton_nodes_all,max_branching_all,nodes_all,reachability_edges_all,reachability_subautomatons_all,skip_edges_all,state_size_all,tag_edges_all,variables_all,nodes_diff_percentage
268,1.1996542783059636,133,10,1388,596,8,1235,124,77,787,1421,76,7,amazons_split5,rbg,167,1.4852941176470589,135,8,707,335,8,516,78,39,257,816,70,5,58.21862348178137
784,1.112079701120797,378,13,2679,822,16,2442,58,32,1183,510,276,8,pretwa,rbg,391,1.3449477351916377,238,21,772,315,16,587,28,12,37,491,78,7,75.96232596232596
578,1.2504515352197472,382,20,2077,836,16,1672,20,10,847,2626,250,11,chess_kingCapture_200,rbg,366,1.6011730205278591,380,32,1098,443,16,687,8,4,252,2626,92,11,58.911483253588514
688,1.0779097387173395,264,13,2269,660,8,2156,102,50,747,570,468,8,alquerque_split,rbg,299,1.2698961937716262,214,21,734,333,8,595,40,16,99,545,82,7,72.40259740259741
394,1.1328301886792451,130,12,1501,498,5,1405,186,79,643,6525,148,10,go_constsum,rbg,228,1.3814180929095354,131,13,565,246,5,455,152,45,15,6164,39,9,67.61565836298932
718,1.1054830287206263,244,13,2117,666,16,1942,34,26,945,570,176,8,alquerque_noCapturingSequences,rbg,311,1.3432835820895523,150,21,540,263,16,409,12,6,21,545,46,7,78.93923789907312
64,1.0985221674876848,30,6,223,98,3,214,20,10,95,1185,14,7,breakthrough_11x11,rbg,29,1.2264150943396226,24,8,65,38,3,56,4,2,3,698,5,5,73.83177570093457
518,1.0871287128712872,228,13,1647,658,8,1534,38,18,687,490,176,8,alquerque_bad,rbg,339,1.2430278884462151,148,21,624,283,8,511,20,8,39,465,78,7,66.68839634941331
606,1.2330532212885157,382,20,2201,898,16,1796,20,10,883,2526,310,11,chessCylinder_kingCapture,rbg,387,1.5503355704697988,380,31,1161,492,16,750,8,4,266,2526,120,11,58.240534521158125
142,1.0865800865800863,58,10,502,139,8,483,44,20,238,3829,20,7,connect6_split,rbg,40,1.264957264957265,58,24,148,50,8,125,18,7,24,2020,8,5,74.12008281573499
594,1.2469280280866004,386,22,2131,862,16,1718,20,8,887,2525,244,11,skirmish,rbg,374,1.6037735849056605,386,34,1111,452,16,694,8,4,253,2525,90,11,59.60419091967404
64,1.0985221674876848,30,6,223,98,3,214,20,10,95,505,14,7,breakthrough_6x6,rbg,29,1.2264150943396226,24,8,65,38,3,56,4,2,3,358,5,5,73.83177570093457
