game,language,assign_edges,assign_edges_diff,average_branching,average_branching_diff,comparison_edges,comparison_edges_diff,constants,constants_diff,edges,edges_diff,main_automaton_nodes,main_automaton_nodes_diff,max_branching,max_branching_diff,nodes,nodes_diff,reachability_edges,reachability_edges_diff,reachability_subautomatons,reachability_subautomatons_diff,skip_edges,skip_edges_diff,state_size,state_size_diff,tag_edges,tag_edges_diff,variables,variables_diff
amazons_split5,rbg,268,-37.69,1.1996542783059636,23.81,133,1.5,10,-20.0,1388,-49.06,596,-43.79,8,0.0,1235,-58.22,124,-37.1,77,-49.35,787,-67.34,1421,-42.58,76,-7.89,7,-28.57
pretwa,rbg,784,-50.13,1.112079701120797,20.94,378,-37.04,13,61.54,2679,-71.18,822,-61.68,16,0.0,2442,-75.96,58,-51.72,32,-62.5,1183,-96.87,510,-3.73,276,-71.74,8,-12.5
chess_kingCapture_200,rbg,578,-36.68,1.2504515352197472,28.05,382,-0.52,20,60.0,2077,-47.14,836,-47.01,16,0.0,1672,-58.91,20,-60.0,10,-60.0,847,-70.25,2626,0.0,250,-63.2,11,0.0
alquerque_split,rbg,688,-56.54,1.0779097387173395,17.81,264,-18.94,13,61.54,2269,-67.65,660,-49.55,8,0.0,2156,-72.4,102,-60.78,50,-68.0,747,-86.75,570,-4.39,468,-82.48,8,-12.5
go_constsum,rbg,394,-42.13,1.1328301886792451,21.94,130,0.77,12,8.33,1501,-62.36,498,-50.6,5,0.0,1405,-67.62,186,-18.28,79,-43.04,643,-97.67,6525,-5.53,148,-73.65,10,-10.0
alquerque_noCapturingSequences,rbg,718,-56.69,1.1054830287206263,21.51,244,-38.52,13,61.54,2117,-74.49,666,-60.51,16,0.0,1942,-78.94,34,-64.71,26,-76.92,945,-97.78,570,-4.39,176,-73.86,8,-12.5
breakthrough_11x11,rbg,64,-54.69,1.0985221674876848,11.64,30,-20.0,6,33.33,223,-70.85,98,-61.22,3,0.0,214,-73.83,20,-80.0,10,-80.0,95,-96.84,1185,-41.1,14,-64.29,7,-28.57
alquerque_bad,rbg,518,-34.56,1.0871287128712872,14.34,228,-35.09,13,61.54,1647,-62.11,658,-56.99,8,0.0,1534,-66.69,38,-47.37,18,-55.56,687,-94.32,490,-5.1,176,-55.68,8,-12.5
chessCylinder_kingCapture,rbg,606,-36.14,1.2330532212885157,25.73,382,-0.52,20,55.0,2201,-47.25,898,-45.21,16,0.0,1796,-58.24,20,-60.0,10,-60.0,883,-69.88,2526,0.0,310,-61.29,11,0.0
connect6_split,rbg,142,-71.83,1.0865800865800863,16.42,58,0.0,10,140.0,502,-70.52,139,-64.03,8,0.0,483,-74.12,44,-59.09,20,-65.0,238,-89.92,3829,-47.24,20,-60.0,7,-28.57
skirmish,rbg,594,-37.04,1.2469280280866004,28.62,386,0.0,22,54.55,2131,-47.86,862,-47.56,16,0.0,1718,-59.6,20,-60.0,8,-50.0,887,-71.48,2525,0.0,244,-63.11,11,0.0
breakthrough_6x6,rbg,64,-54.69,1.0985221674876848,11.64,30,-20.0,6,33.33,223,-70.85,98,-61.22,3,0.0,214,-73.83,20,-80.0,10,-80.0,95,-96.84,505,-29.11,14,-64.29,7,-28.57
amazons_split3,rbg,204,-18.14,1.2355029585798816,23.33,133,1.5,10,-20.0,1044,-44.54,436,-52.52,8,0.0,859,-54.83,28,-50.0,13,-46.15,667,-61.47,1421,-42.58,12,-50.0,7,-28.57
ticTacToe,rbg,74,-77.03,1.0905349794238683,27.58,36,0.0,14,14.29,265,-75.85,66,-62.12,8,0.0,254,-79.92,20,-60.0,10,-60.0,125,-100.0,309,-15.86,10,-70.0,7,-28.57
breakthru_split,rbg,244,-31.56,1.154627539503386,18.48,120,-4.17,10,0.0,1023,-52.39,430,-49.53,5,0.0,935,-61.18,39,-69.23,24,-75.0,548,-69.16,1773,0.0,72,-66.67,8,0.0
breakthrough_split,rbg,78,-50.0,1.1149425287356325,19.59,42,0.0,6,33.33,291,-67.01,120,-60.83,3,0.0,278,-71.58,32,-68.75,16,-62.5,131,-99.24,729,-35.53,8,-50.0,7,-28.57
connect6,rbg,142,-71.83,1.076576576576577,16.29,64,-9.38,10,140.0,478,-65.69,109,-59.63,8,0.0,457,-70.02,32,-31.25,12,-58.33,160,-77.5,3829,-47.24,80,-90.0,7,-28.57
lauKataKati,rbg,784,-50.13,1.112079701120797,20.94,378,-37.04,13,61.54,2679,-71.18,822,-61.68,16,0.0,2442,-75.96,58,-51.72,32,-62.5,1183,-96.87,510,-3.73,276,-71.74,8,-12.5
amazons_split2,rbg,192,-20.31,1.2397003745318351,21.65,132,0.0,10,-20.0,993,-43.81,414,-51.93,8,0.0,810,-53.7,16,-50.0,8,-50.0,637,-59.34,1421,-42.58,16,-62.5,7,-28.57
golSkuish,rbg,784,-50.13,1.112079701120797,20.94,378,-37.04,13,61.54,2679,-71.18,822,-61.68,16,0.0,2442,-75.96,58,-51.72,32,-62.5,1183,-96.87,750,-5.73,276,-71.74,8,-12.5
connect4,rbg,97,-76.29,1.1222222222222222,34.2,65,7.69,16,68.75,404,-69.06,82,-60.98,7,0.0,372,-75.81,26,-38.46,11,-45.45,206,-94.17,639,-33.49,10,-60.0,7,-28.57
doubleChess,rbg,1106,-46.75,1.2622387632407672,43.21,836,-3.11,20,65.0,4409,-55.23,1070,-59.53,16,0.0,3520,-68.61,86,-39.53,26,-53.85,2065,-80.29,7746,-44.85,316,-63.29,9,-11.11
amazons,rbg,184,-17.93,1.243208279430789,21.09,132,0.0,10,-20.0,961,-42.35,394,-51.02,8,0.0,778,-52.31,8,-50.0,4,-50.0,617,-57.7,1421,-42.58,20,-70.0,7,-28.57
breakthru,rbg,240,-31.25,1.152027027027027,18.62,120,-4.17,10,0.0,1023,-52.98,420,-49.29,5,0.0,951,-62.46,35,-77.14,22,-81.82,560,-69.82,1773,0.0,68,-64.71,8,0.0
amazons_split2a,rbg,538,-27.7,1.2357687135813538,23.3,370,-3.78,10,-20.0,2757,-46.39,474,-45.78,8,0.0,2268,-56.39,56,-35.71,36,-50.0,1685,-60.89,1421,-42.58,108,-64.81,7,-28.57
breakthrough,rbg,64,-54.69,1.0985221674876848,11.64,30,-20.0,6,33.33,223,-70.85,98,-61.22,3,0.0,214,-73.83,20,-80.0,10,-80.0,95,-96.84,729,-35.53,14,-64.29,7,-28.57
go_nopass,rbg,406,-40.39,1.1307861866274798,22.56,132,2.27,12,8.33,1539,-61.73,510,-50.59,5,0.0,1445,-67.27,196,-18.37,83,-43.37,665,-98.35,6003,-6.01,140,-70.71,10,-10.0
foxAndHounds-12x12,rbg,78,-55.13,1.0861244019138756,18.67,10,0.0,6,-33.33,227,-74.45,107,-67.29,4,0.0,220,-77.27,20,-60.0,10,-60.0,105,-99.05,939,-38.76,14,-71.43,7,-28.57
knightthrough_split,rbg,72,-56.94,1.0845070422535212,12.38,24,33.33,8,-50.0,231,-66.23,104,-58.65,2,0.0,230,-69.13,32,-68.75,16,-62.5,95,-98.95,859,-30.27,8,-50.0,7,-14.29
chess,rbg,1002,-44.61,1.2553990610328638,38.53,728,0.0,20,45.0,4011,-54.13,972,-56.69,16,0.0,3220,-66.74,80,-35.0,24,-50.0,1901,-79.22,2526,-41.17,300,-63.33,11,-9.09
