language,flags,assign_edges,average_branching,comparison_edges,constants,edges,main_automaton_nodes,max_branching,nodes,reachability_edges,reachability_subautomatons,skip_edges,state_size,tag_edges,variables
hrg,--compact-comparisons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hrg,--compact-reachability,-1.43,-0.36,-2.89,0.0,-1.91,0.0,0.0,-0.81,1.89,-2.38,-0.2,0.0,0.0,0.0
hrg,--compact-skip-edges,-1.82,10.53,-16.42,-1.84,-47.66,-43.43,20.66,-54.85,0.0,0.0,-83.96,0.09,-1.51,3.25
hrg,--inline-assignment,-36.34,0.17,1.86,10.34,-12.25,-11.87,2.82,-15.97,-2.41,-2.38,0.0,-89.87,0.0,-17.62
hrg,--inline-reachability,0.0,0.0,0.04,0.0,-0.02,0.0,0.0,-0.06,-2.41,-2.38,0.0,0.0,0.0,0.0
hrg,--join-exclusive-edges,0.0,-0.1,-3.23,0.0,-1.73,0.0,0.0,-1.18,0.0,0.0,0.0,0.0,0.0,0.0
hrg,--join-fork-prefixes,-0.32,1.13,-14.64,0.0,-8.37,-0.39,-23.96,-11.05,0.0,0.0,0.0,0.0,0.0,0.0
hrg,--join-fork-suffixes,-14.06,1.85,-0.38,0.0,-7.66,-14.21,0.0,-10.14,0.0,0.0,-19.24,0.0,-4.39,0.0
hrg,--merge-accesses,0.0,0.0,0.0,36.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hrg,--propagate-constants,-0.16,0.03,-0.4,-2.74,-0.27,-0.29,-0.68,-0.31,0.0,0.0,0.0,0.0,-0.51,0.0
hrg,--prune-self-loops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hrg,--prune-singleton-types,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
