game,language,plays_optimized,plays_none
alquerque,hrg,5950.0,3906.0
alquerque,rbg,3096.0,509.0
alquerque_bad,rbg,2214.0,418.0
alquerque_lud,rbg,550.0,187.0
alquerque_split,rbg,3178.0,467.0
amazons,hrg,175.0,121.0
amazons,rbg,175.0,46.0
amazons_split2,hrg,1122.0,938.0
amazons_split2,rbg,1118.0,474.0
amazons_split2a,rbg,738.0,226.0
amazons_split3,rbg,1807.0,847.0
amazons_split5,rbg,1880.0,1080.0
amazons_split5plus,rbg,2347.0,1190.0
ataxx,hrg,302.0,245.0
backgammon,hrg,85.0,39.0
battleships,hrg,594.0,558.0
bombardment,hrg,7256.0,6416.0
breakthrough,hrg,1999.0,1652.0
breakthrough,rbg,1773.0,492.0
breakthrough_10x10,rbg,729.0,211.0
breakthrough_11x11,rbg,478.0,142.0
breakthrough_12x12,rbg,332.0,101.0
breakthrough_5x5,rbg,14472.0,4351.0
breakthrough_6x6,rbg,6096.0,1803.0
breakthrough_7x7,rbg,3145.0,903.0
breakthrough_9x9,rbg,1085.0,290.0
breakthrough_split,rbg,2187.0,1011.0
breakthru,rbg,2.0,1.0
breakthru_split,rbg,23.0,14.0
canadianDraughts,rbg,29.0,16.0
chess,hrg,53.0,32.0
chess,rbg,18.0,12.0
chessCylinder,rbg,13.0,10.0
chessCylinder_kingCapture,rbg,181.0,130.0
chessGardner5x5_kingCapture,rbg,1525.0,1079.0
chessLosAlamos6x6_kingCapture,rbg,812.0,606.0
chessQuick5x6_kingCapture,rbg,1159.0,828.0
chessSilverman4x5_kingCapture,rbg,3143.0,2246.0
chess_200,rbg,26.0,19.0
chess_kingCapture,hrg,445.0,299.0
chess_kingCapture,rbg,182.0,132.0
chess_kingCapture_200,rbg,186.0,148.0
chineseCheckers6,rbg,67.0,33.0
clobber,hrg,820.0,758.0
connect4,hrg,49503.0,43875.0
connect4,kif,2291.0,1662.0
connect4,rbg,8906.0,2308.0
connect6_split,rbg,168.0,9.0
dashGuti,rbg,2761.0,427.0
diceThrowCompare,hrg,1295816.0,1286377.0
diceThrowGuess,hrg,1343441.0,1315235.0
dotsAndBoxes,hrg,719.0,710.0
doubleChess,rbg,1.0,1.0
englishDraughts,hrg,3337.0,1439.0
englishDraughts,rbg,2310.0,871.0
englishDraughts_lud,rbg,2244.0,878.0
englishDraughts_split,rbg,2492.0,905.0
foxAndGeese,hrg,2183.0,1848.0
foxAndGeese_lud,hrg,671.0,572.0
foxAndHounds,rbg,8645.0,3602.0
foxAndHounds-10x10,rbg,3873.0,1754.0
foxAndHounds-12x12,rbg,1944.0,934.0
golSkuish,rbg,929.0,155.0
gomoku_freeStyle,hrg,570.0,477.0
gomoku_freeStyle,rbg,541.0,28.0
gomoku_standard,hrg,565.0,494.0
gomoku_standard,rbg,526.0,21.0
gomoku_standard_11x11,rbg,1525.0,72.0
gomoku_standard_13x13,rbg,861.0,38.0
hex,rbg,761.0,19.0
hex_10x10,rbg,1061.0,32.0
hex_5x5,rbg,15645.0,785.0
hex_6x6,rbg,7914.0,338.0
hex_7x7,rbg,4492.0,168.0
hex_8x8,rbg,2691.0,92.0
hex_9x9,rbg,1696.0,50.0
internationalDraughts,rbg,87.0,52.0
knightthrough,hrg,3079.0,2541.0
knightthrough,rbg,735.0,435.0
knightthrough_split,rbg,962.0,752.0
lauKataKati,rbg,3149.0,490.0
montyHall,kif,222858.0,139452.0
oware,hrg,1066.0,807.0
paperSoccer,rbg,4.0,3.0
pentago,hrg,307.0,261.0
pentago,rbg,177.0,7.0
pentago_split,hrg,3976.0,3506.0
pentago_split,rbg,2166.0,115.0
pretwa,rbg,5935.0,1358.0
reversi,rbg,330.0,98.0
reversi_10x10,rbg,122.0,33.0
reversi_4x4,rbg,7069.0,2526.0
reversi_6x6,rbg,1215.0,387.0
satSolver,hrg,62771.0,54141.0
skirmish,rbg,180.0,145.0
surakarta,rbg,,45.0
theMillGame,rbg,1593.0,206.0
theMillGame_lud,rbg,982.0,219.0
theMillGame_split,rbg,3957.0,836.0
ticTacDie,hrg,158356.0,127181.0
ticTacToe,hrg,131013.0,122528.0
ticTacToe,kif,33750.0,21644.0
ticTacToe,rbg,154403.0,16281.0
turingMachine,hrg,9884.0,5530.0
twentyOne,hrg,285191.0,280602.0
ultimateTicTacToe,hrg,9123.0,8040.0
yavalath,rbg,10005.0,662.0
