game,language,edges
diceThrowGuess,hrg,10
diceThrowCompare,hrg,14
satSolver,hrg,33
twentyOne,hrg,45
clobber,hrg,51
bombardment,hrg,54
dotsAndBoxes,hrg,59
ticTacToe,hrg,63
breakthrough,hrg,77
knightthrough,hrg,79
ticTacDie,hrg,85
turingMachine,hrg,86
hex,hrg,103
connect4,hrg,104
tavelspel_lud,hrg,169
knightthrough,rbg,183
ultimateTicTacToe,hrg,185
aiyawatstani_lud,hrg,211
rattiChittiBakri_lud,hrg,211
smasandyutakankarikrida_lud,hrg,211
kotuEllima_lud,hrg,211
tuknanavuhpi_lud,hrg,211
dashGuti_lud,hrg,211
kauaDorki_lud,hrg,211
baraGuti_lud,hrg,211
bisGutiya_lud,hrg,211
chalisGutiaTitagarh_lud,hrg,211
alquerque_lud,hrg,211
damSingapore_lud,hrg,211
terhuchuSmall_lud,hrg,211
golEkuish_lud,hrg,211
montyHall,kif,215
breakthrough_6x6,rbg,223
breakthrough,rbg,223
breakthrough_11x11,rbg,223
breakthrough_10x10,rbg,223
breakthrough_9x9,rbg,223
breakthrough_7x7,rbg,223
breakthrough_5x5,rbg,223
breakthrough_12x12,rbg,223
foxAndHounds-10x10,rbg,227
foxAndHounds,rbg,227
foxAndHounds-12x12,rbg,227
knightthrough_split,rbg,231
baraGutiBihar_lud,hrg,245
ataxx,hrg,245
hex_6x6,rbg,251
hex_5x5,rbg,251
hex_10x10,rbg,251
hex_9x9,rbg,251
hex_8x8,rbg,251
hex_7x7,rbg,251
hex,rbg,251
damHariman_lud,hrg,253
lauKataKati_lud,hrg,253
mogulPutthan_lud,hrg,253
hewakamKeliya_lud,hrg,253
peralikatuma_lud,hrg,253
meurimuengRimuengPeuetPloh_lud,hrg,253
pretwa_lud,hrg,253
lamPusri_lud,hrg,253
satoel_lud,hrg,253
ahtarahGuti_lud,hrg,253
foxAndGeese_lud,hrg,256
foxAndGeese,hrg,256
ticTacToe,rbg,265
gomoku_freeStyle,hrg,289
breakthrough_split,rbg,291
lauKataKati,hrg,294
alquerque,hrg,294
golSkuish,hrg,294
pretwa,hrg,294
dashGuti,hrg,294
yavalath,hrg,295
gomoku_freeStyle,rbg,321
battleships,hrg,341
gomoku_standard,hrg,369
connect4,rbg,404
gomoku_standard_13x13,rbg,409
gomoku_standard,rbg,409
gomoku_standard_11x11,rbg,409
yavalath,rbg,413
englishDraughts,hrg,449
connect6,rbg,478
connect6_split,rbg,502
oware,hrg,665
ticTacToe,kif,733
surakarta,rbg,938
amazons,hrg,948
amazons_split2,hrg,950
amazons,rbg,961
amazons_split3,hrg,974
amazons_split2,rbg,993
breakthru_split,rbg,1023
breakthru,rbg,1023
amazons_split3,rbg,1035
chessSilverman4x5_kingCapture,rbg,1177
chessLosAlamos6x6_kingCapture,rbg,1325
amazons_split5,rbg,1379
go,rbg,1393
go_constsum,rbg,1501
go_nopass,rbg,1539
chess_kingCapture,hrg,1558
chessQuick5x6_kingCapture,rbg,1681
15puzzle,rbg,1707
pentago_split,hrg,1839
connect4,kif,1877
englishDraughts,rbg,1939
amazons_split5plus,rbg,2067
chess_kingCapture_200,rbg,2077
alquerque,rbg,2083
dashGuti,rbg,2083
pretwa,rbg,2083
golSkuish,rbg,2083
lauKataKati,rbg,2083
englishDraughts_split,rbg,2121
skirmish,rbg,2131
chessCylinder_kingCapture,rbg,2201
chess_kingCapture,rbg,2201
chessGardner5x5_kingCapture,rbg,2201
theMillGame_lud,rbg,2427
theMillGame_split,rbg,2553
theMillGame,rbg,2563
paperSoccer,rbg,2685
amazons_split2a,rbg,2757
chineseCheckers6,rbg,2879
chess,hrg,3223
reversi_6x6,rbg,3265
reversi_10x10,rbg,3265
reversi,rbg,3265
reversi_4x4,rbg,3265
pentago,hrg,3593
chess_200,rbg,3833
chess,rbg,4011
chessCylinder,rbg,4011
doubleChess,rbg,4409
canadianDraughts,rbg,4417
internationalDraughts,rbg,4417
backgammon,hrg,6769
pentago_split,rbg,10567
pentago,rbg,10571
