transform,hrg,kif,rbg
compact_comparisons,0.0,10.17,3.52
compact_reachability,1.28,0.0,0.24
compact_skip_edges,62.04,61.91,64.12
inline_assignment,55.15,12.78,24.62
inline_reachability,6.7,70.45,37.01
join_exclusive_edges,3.8,0.0,9.47
join_fork_prefixes,48.54,90.16,90.41
join_fork_suffixes,58.33,51.9,60.88
merge_accesses,18.94,0.0,3.04
propagate_constants,11.96,1.15,4.58
prune_self_loops,0.0,0.0,0.0
prune_singleton_types,0.0,0.0,0.0
prune_unreachable_nodes,28.94,51.47,35.97
prune_unused_constants,31.68,0.0,28.01
prune_unused_variables,78.69,5.92,74.79
reorder_conditions,58.0,65.15,41.81
skip_artificial_tags,100.0,0.0,100.0
skip_redundant_tags,0.49,0.0,7.01
skip_self_assignments,0.0,0.0,0.31
skip_self_comparisons,3.8,14.29,0.0
skip_unused_tags,9.68,0.0,19.95
