language,transform,total_time_perc,changed_time_perc
hrg,compact_comparisons,1.8,0.0
hrg,compact_reachability,1.63,0.01
hrg,compact_skip_edges,12.79,4.65
hrg,inline_assignment,32.35,22.36
hrg,inline_reachability,5.08,0.19
hrg,join_exclusive_edges,2.32,0.03
hrg,join_fork_prefixes,2.59,0.71
hrg,join_fork_suffixes,3.35,2.54
hrg,merge_accesses,1.28,0.48
hrg,propagate_constants,11.4,0.6
hrg,prune_self_loops,0.01,0.0
hrg,prune_singleton_types,0.23,0.0
hrg,prune_unreachable_nodes,3.25,0.4
hrg,prune_unused_constants,4.89,0.23
hrg,prune_unused_variables,0.15,0.03
hrg,reorder_conditions,3.56,2.57
hrg,skip_artificial_tags,0.0,0.0
hrg,skip_redundant_tags,10.84,0.13
hrg,skip_self_assignments,0.01,0.0
hrg,skip_self_comparisons,0.01,0.0
hrg,skip_unused_tags,2.45,0.11
kif,compact_comparisons,0.8,0.04
kif,compact_reachability,1.27,0.0
kif,compact_skip_edges,10.47,3.45
kif,inline_assignment,58.33,8.56
kif,inline_reachability,8.86,5.34
kif,join_exclusive_edges,0.82,0.0
kif,join_fork_prefixes,3.73,2.53
kif,join_fork_suffixes,1.22,0.64
kif,merge_accesses,0.04,0.0
kif,propagate_constants,6.16,0.04
kif,prune_self_loops,0.0,0.0
kif,prune_singleton_types,0.01,0.0
kif,prune_unreachable_nodes,0.72,0.22
kif,prune_unused_constants,0.0,0.0
kif,prune_unused_variables,0.06,0.0
kif,reorder_conditions,7.02,6.45
kif,skip_artificial_tags,0.0,0.0
kif,skip_redundant_tags,0.0,0.0
kif,skip_self_assignments,0.0,0.0
kif,skip_self_comparisons,0.0,0.0
kif,skip_unused_tags,0.5,0.0
rbg,compact_comparisons,1.17,0.01
rbg,compact_reachability,1.62,0.0
rbg,compact_skip_edges,15.7,3.01
rbg,inline_assignment,30.16,2.43
rbg,inline_reachability,8.21,0.94
rbg,join_exclusive_edges,1.65,0.05
rbg,join_fork_prefixes,2.78,1.54
rbg,join_fork_suffixes,3.37,0.91
rbg,merge_accesses,2.44,0.81
rbg,propagate_constants,7.94,0.13
rbg,prune_self_loops,0.0,0.0
rbg,prune_singleton_types,0.04,0.0
rbg,prune_unreachable_nodes,1.23,0.06
rbg,prune_unused_constants,1.31,0.06
rbg,prune_unused_variables,0.03,0.0
rbg,reorder_conditions,2.78,0.83
rbg,skip_artificial_tags,0.0,0.0
rbg,skip_redundant_tags,18.3,3.24
rbg,skip_self_assignments,0.0,0.0
rbg,skip_self_comparisons,0.0,0.0
rbg,skip_unused_tags,1.26,0.03
