transform,hrg,kif,rbg,rg
compact_comparisons,0.0,33.33,12.68,0.0
compact_reachability,6.45,0.0,15.49,0.0
compact_skip_edges,100.0,100.0,100.0,50.0
inline_assignment,58.06,100.0,100.0,0.0
inline_reachability,3.23,100.0,100.0,0.0
join_exclusive_edges,3.23,0.0,64.79,0.0
join_fork_prefixes,12.9,100.0,73.24,0.0
join_fork_suffixes,64.52,66.67,100.0,25.0
merge_accesses,67.74,0.0,66.2,0.0
propagate_constants,35.48,33.33,100.0,25.0
prune_self_loops,0.0,0.0,1.41,0.0
prune_singleton_types,0.0,0.0,0.0,0.0
prune_unreachable_nodes,100.0,100.0,100.0,0.0
prune_unused_constants,54.84,0.0,66.2,0.0
prune_unused_variables,35.48,33.33,80.28,0.0
reorder_conditions,12.9,100.0,49.3,0.0
skip_artificial_tags,41.94,0.0,100.0,0.0
skip_redundant_tags,3.23,0.0,100.0,0.0
skip_self_assignments,0.0,0.0,1.41,0.0
skip_self_comparisons,3.23,33.33,0.0,0.0
skip_unused_tags,16.13,0.0,71.83,0.0
